bird_name,bird_species_name
American goldfinch,Carduelis tristis
American kestrel,Falco sparverius
American redstart,Setophaga ruticilla
American robin,Turdus migratorius
American tree sparrow,Spizella arborea
American woodcock,Scolopax minor
Baltimore oriole,Icterus galbula
Barn swallow,Hirundo rustica
Black-and-white warbler,Mniotilta varia
Black-crowned night heron,Nycticorax nycticorax
Black-throated blue warbler,Dendroica caerulescens
Black-capped chickadee,Poecile atricapilla
Blacburnian warbler,Dendroica fusca
Blackpoll warbler,Dendroica striata
Blue-gray gnatcatcher,Polioptila caerulea
Blue jay,Cyanocitta cristata
Bobolink,Dolichonyx oryzivorus
Brown-headed cowbird,Molothrus ater
Brown thrasher,Toxostoma rufum
Canada goose,Branta candensis
Canada warbler,Wilsonia canadensis
Cardinal,Cardinalis cardinalis
Carolina wren,Thryothorus ludovicianus
Cape May warbler,Dendroica tigrina
Cedar waxwing,Bombycilla cedrorum
Chipping sparrow,Spizella passerina
Common grackle,Quiscalus quiscula
Common yellowthroat,Geothlypis trichas
Dark-eyed junco,Junco hyemalis
Downy woodpecker,Picoides pubescens
Eastern kingbird,Tyrannus tyrannus
Eastern phoebe,Sayornis phoebe
Eastern towhee,Pipilo erythrophthalmus
European starling,Sturnus vulgaris
Field sparrow,Spizella pusilla
Golden-crowned kinglet,Regulus satrapa
Gray catbird,Dumetella carolinensis
Great egret,Ardea alba
Hairy woodpecker,Picoides villosus
Hermit thrush,Catharus guttatus
Hooded warbler,Wilsonia citrina
House finch,Carpodacus mexicanus
House sparrow,Passer domesticus
Indigo bunting,Passerina cyanea
Killdeer,Charadrius vociferus
Magnolia warbler,Dendroica magnolia
Mallard,Anas platyrhynchos
Mourning dove,Zenaida macroura
Nashville warbler,Vermivora ruficapilla
Northern mockingbird,Mimus polyglottos
Northern flicker,Colaptes auratus
Northern parula,Parula americana
Palm warbler,Dendroica palmarum
Red-bellied woodpecker,Melanerpes carolinus
Red-eyed Vireo,ireo olivaceus
Red-tailed hawk,Buteo jamaicensis
Red-winged blackbird,Agelaius phoeniceus
Ring-necked pheasant,Phasianus colchicus
Rock dove (feral pigeon),Columba livia
Ruby-crowed kinglet,Regulus calendula
Ruby-throated hummingbird,Archilochus olubris
Scarlet tanager,Piranga olivacea
Solitary sandpiper,Tringa solitaria
Song sparrow,Melospiza melodia
Turkey vulture,Cathartes aura
White-throated sparrow,Zonotrichia albicollis
Wood duck,Aix sponsa
Yellow warbler,Dendroica petechia
Yellow-bellied sapsucker,Sphyrapicus varius
Yellow-rumped warbler,Dendroica coronata
