map_number,location_name,thumbnail_url,place_desc
1,Main Street Gate,https://queensbotanical.org/wp-content/uploads/2015/11/gop-gates-200-dpi-205x300.jpg,"A signature tree sculpture gate graces the Garden's entrance on Main Street. This elegant representation of the American Hornbeam (Carpinus caroliniana), a tree known for its toughness and hardwood, was ""planted"" between two Blue Atlas Cedars (Cedrus atlantica ""Glauca"") that have been part of the Garden since its birth as the exhibit Gardens on Parade at the 1939­1940 New York World's Fair. 
The tree sculpture gate is a dedication to the victims and heroes of 9/11 and the power of hope, healing, and community."
2,Helen and Martin Kaltman Fragrance Walk,http://queensbotanical.org/wp-content/uploads/2015/11/Fragrance-Walk_Shari-Romar-300x200.jpg,"Generous support for the maintenance of the Fragrance Walk is provided by The Kaltman Family Foundation. This area has a vast collection of shrubs, perennials, and bulbs that are especially fragrant during the growing season. Essential oils found in flowers, leaves, seeds, bark, and roots give these plants their strong scent."
3,Cherry Circle & Four Seasons Border,https://queensbotanical.org/wp-content/uploads/2015/11/Circle-Garden_CREDIT-Jess-Brey-300x201.jpg,"A central component of the Queens Botanical Garden's landscape design, the Cherry Circle and Four Seasons border are striking gardens in all seasons. Cherry trees line a curved walkway and erupt in blooms each spring.  Several trees have been adopted in honor or memory of a loved one, making this space even more special."
4,Circle Garden,https://queensbotanical.org/wp-content/uploads/2015/11/Cherry-Circle_Shari-Romar-300x200.jpg,Original site of a circular fountain. The center ring of this bed is planted with very tall sun-loving perennials. The outer circle features plants significant in Korean culture.
5,Unity Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Backyard-Garden_H.-David-Stein-300x200.jpg,"Located in the Gardens on Parade section at QBG (an area originally modeled after the five-acre exhibit showcased at the 1939-1940 New York World’s Fair) the newly renovated zone features a new design with a circle of lawn, surrounded by six elegant 1964 World’s Fair-style benches, pathways, and a combination of plants that do well in shade and sun."
6,Wetland & Woodland Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Woodland-Garden_H.-David-Stein-300x200.jpg,"A collection highlighting wetland and woodland environments. The forest setting of trees, shrubs, and ferns complemented by flowering perennials and bulbs in spring and summer. This garden’s walking trails and high canopy replicate a woodland space within a city setting that disappearing in the wild; this garden serves as a demonstration of a natural habitat that attracts birds, fish, and wildlife. "
7,Magnolia Walk,https://queensbotanical.org/wp-content/uploads/2018/03/1-2017.4.10_Magnolia-stellata-Star-Magnolia_CREDIT-Jess-Brey11-e1521561099694.jpg,This path host a great amount of young Magnolia shrubs and tress.  
8,Seasonal Bed,https://queensbotanical.org/wp-content/uploads/2021/01/Corp-Vols04-1-scaled.jpg,This area host vast amount of seaonal plants. Tuplis in spring and various tropical plants in the summer.
9,Perennial Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Perennial_Garden-H.-David-Stein-300x200.jpg,"A colorful succession of spring-to-fall bloom from herbaceous, flowering plants that go dormant each winter and return every year. Special attention is given to plant heights, bloom time, color of flower, and foliage."
10,Rose Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Rose-Garden_CREDIT-Jess-Brey-300x201.jpg,"Redesigned in 2009, this garden consolidates two older rose gardens into a beautiful, welcoming space awash with color and fragrance.
Flower beds are arranged in a concentric circular pattern with a large central bed, bordered by gray paving stones recovered during construction.  Mounded with soil, these beds demonstrate how roses can be grown in a landscape that can experience occasional flooding. Copper trellising marks entrances to the Rose Garden, made more enticing by climbing roses.  Trellising continues around the stone path providing a vertical element to the garden’s design.  Such features make the Rose Garden a favorite place for wedding ceremonies and photographs. Roses are carefully chosen for their disease and pest resistance, eliminating the need for pesticides and fungicides.  Low-growing perennials like creeping thyme and sedum not only set off the roses, but also reduce weeds and prevent soil erosion."
11,Pinetum,http://queensbotanical.org/wp-content/uploads/2015/11/Pinetum_H.-David-Stein-300x200.jpg,A collections of cone-bearing trees.
12,Oak alley,http://queensbotanical.org/wp-content/uploads/2015/11/Oak-Allee_CREDIT-Anne-Tan-Detchkov-300x200.jpg,"Providing a grand entrance into the Garden, the Oak Allee's Pin Oaks (Quercus palustris) date back to the early 1960s when QBG was moved to its current location."
13,Green Roof,http://queensbotanical.org/wp-content/uploads/2015/11/Green-Roof.jpg,"A semi-intensive, 8000-square-foot green roof with six inches of growing medium, planted with mostly native species that require minimal artificial watering and provide much-needed habitat for humans, birds, and insects. At the base of the Green Roof is a collection of native woodland plants featuring ferns, shrubs, sedges, and wildflowers, among others."
14,Visitor & Adminstration Building,https://queensbotanical.org/wp-content/uploads/2019/02/2011.5.30_CREDIT-Shari-Romar01.png,Queens Botanical Garden’s Visitor & Administration Building has earned Platinum certification under the U.S. Green Building Council (USGBC) Leadership in Energy and Environmental Design (LEED®) Green Building Rating System. This was the first newly constructed public building in New York to earn this designation.
15,Floral Border,http://queensbotanical.org/wp-content/uploads/2015/11/Floral-Border_Anne-Tan-Detchkov-300x200.jpg,"Filled with flowers ranging from a cool to warm color palette, the Floral Border's plants are carefully selected for a long season of interest, making it a favorite spot for wedding photographs too!"
