plant_id,plant_species_name,common_name,plant_desc
2,Ilex opaca,American holly,"It is the only native U.S. holly with spiny green leaves and bright red berries. Its berry-laden boughs are typically collected at Christmas time each year for ornamentation. Many kinds of songbirds, gamebirds, and mammals eat the bitter berries of this and other hollies, but the fruits are poisonous to humans."
3,Prunus maackii,Amur Cherry,"Prunus maackii, commonly known as Amur Cherry, is a deciduous tree with rounded dense branching. It is native to Korea and Manchuria. It's most noted for its exfoliating.golden brown to russet bark. Fragrant white flowers in 6- to 10-flowered clusters appear in April-May. Flowers are followed by red fruit which mature to black in late summer. It is used to make jam, jelly, and juices. "
4,Ocimum basilicum & Salvia officinalis,Basil and Sage,"Ocimum basilicum, commonly called basil, is a native of Africa and Asia. It was said to be found growing around Christ's tomb after the Resurrection. Some Greek Orthodox churches use it to prepare holy water and pots of basil are set below church altars. Flowers tend to be small and white. Some can be pink to brilliant magenta. Basil is commonly used as a seasoning herb. Salvia officinalis commonly called sage, is the culinary sage familiar to most cooks. It also has excellent ornamental qualities. Features whorls of two-lipped, lavender-blue flowers in short, upright spikes in late spring. Its gray-green leaves have a strong aroma and is used fresh or dried in cooking as a seasoning. "
5,Iris,Bearded Iris,"All Iris flowers have 6 petals. 3 upright petals and 3 dropping petals. Each flower has a fuzzy line or beard in the center which help guide insects towards the pollen. Bearded irises are classified by height and flower size into 6 groups: Miniature Dwarf (MDB), Standard Dwarf (SDB), Intermediate (IB), Miniature Tall (MTB), Border Bearded (BB), Tall Bearded Irises (TB). "
6,Monarda 'Jacob Kline',Bee Balm,"Monarda didyma 'Jacob Kline' is a perennial that is native to the eastern United States and Canada, as well as to Washington and Oregon. It is naturally found in wet meadows, bottomlands, moist open woods, thickets and other wet sites, most commonly in mountain areas. It has large, showy red flower bracts on tall narrow plants and is a cultivar that is highly attractive to hummingbirds."
7,Strelitzia reginae,Bird of Paradise,"Strelitzia reginae, called bird of paradise, is a bold structural plant, which forms large evergreen clumps of stiff leaves growing up from the base. The flowers emerge one at a time from the hard, beak-like sheath. The flowers consist of 3 brilliant orange sepals and 3 bright blue petals. The petals open when birds sit to drink their nectar. This is done to cover the birds feet with pollen. "
8,Helleborus niger,Black Hellebore,"Helleborus niger, commonly called Christmas rose, is a winter-blooming evergreen perennial which blooms around Christmas time in warm winter regions, but later (February or March) in the cold northern parts of the growing range. It is native to alpine areas and open woodlands in southern and central Europe. Each flower has five large and showy petal-like sepals. Flowers usually appear singly on thick stems which usually do not rise above the foliage. "
9,Belamcanda chinensis,Blackberry Lily,"Formerly known as Belamcanda chinensis. Its current scientific name is Iris domestica. It is an erect, rhizomatous perennial with lily-like, deep orange flowers heavily spotted with red dots. The flowers appear in early to-mid summer in sprays above the foliage on wiry, naked stems. They are called Blackberry Lilies because of their blackberry-like seed cluster inside each seed pod that open when ripe, usually in late summer. "
10,Liatris spicata,Blazing Star,"Liatris spicata, commonly called blazing star, is a tall, upright, clump-forming perennial which is native to moist low grounds, meadows and marsh margins. Features terminal spikes of sessile, rounded, fluffy, deep purple flower heads appearing atop rigid, erect, leafy flower stalks. Blooms in the summer. "
11,Dicentra spectabilis 'Gold Heart',Bleeding Heart,"Lamprocapnos spectabilis has been a common, old garden favorite for many years. It is native to Japan. Nodding, puffy, heart-shaped, rose-pink flowers with protruding white inner petals begin bloom in spring before the leaves emerge. Flowers dangle downward at regular intervals beneath long arching stems. The common name is in reference to the protruding white inner petal on each heart-shaped flower which purportedly gives the flower the appearance of a ""bleeding heart""."
12,Cedrus atlantica,Blue Atlas Cedar,"Cedrus atlantica, commonly called Atlas cedar, is an evergreen conifer native to the Atlas Mountains in northern Africa. Its habit is usually loose pyramidal when young, becoming more flat-topped with long spreading branches as it ages. It produces an aromatic oil that is a natural insect deterrent. Its harvested wood is commonly used in building furniture and drawers. "
13,Typha latifolia,Broadleaf Cattail ,"Typha latifolia, commonly called Broadleaf Cattail, is native to marshes, swamps and wetlands in North America, Europe and Asia. Various parts of the plant is used as food such as the rootstock which is mostly starch. The young shoots can be eaten like asparagus and the immature flower spikes can be boiled and eaten like corn on the cob. When ripe, the heads will disintegrate into a cottony fluff from which the seeds are then dispersed by the wind."
