common_name,location
"	Red-twig dogwood",Four Seasons Border
American holly,Bee Garden
Amur Cherry,Arboretum
Basil and Sage,Herb Garden
Bearded Iris,Herb Garden
Bee Balm,Floral Border
Bird of Paradise,Tropical Bed
Black Hellebore,Fragrance Walk
Blackberry Lily,Herb Garden
Blackberry Lily,Herb Garden
Blazing Star,Oak Allée
Bleeding Heart,Backyard Garden
Blue Atlas Cedar,Entrance Plaza
Broadleaf Cattail ,Entrance Plaza Biotope
Butterbur,Entrance Plaza
Butterfly Weed,Green Roof
Canna,Oak Allée
Cardoon,Annual Garden
Castor Aralia ,Side of Wedding Garden near Herb Garden
Castor Bean,Herb Garden
Castor Bean,Herb Garden
Cedar of Lebanon ,Entrance Plaza
Chinese witch hazel ,Fragrance Walk
Chinese witch hazel ,Fragrance Walk
Clary Sage,Herb Garden
Clematis,Wedding Garden
Columbine,Perennial Garden
Common Crocus,Floral Border
Common Hop,Herb Garden
Common Lilac,Fragrance Walk
Common Witch Hazel,Herb Garden
Coral Bark Willow ,Parking Garden
Crabapple,Arboretum
Cream Veranda,Rose Garden
Cup Plant,Oak Allée
Eastern Redbud,Arboretum
European hornbeam,Alongside Wedding Garden
Flowering Dogwood,Woodland
Flowering dogwood,Woodland
Flowering Quince,Fragrance Walk
Fringe Tree,Arboretum
Gaura,Parking Garden
Globe Amaranth,Floral Border
Glory of the Snow ,Fragrance Walk
Golden Rain Tree,Arboretum
Grape Hyacinth,Fragrance Walk
Hardy Hibiscus,Four Seasons Border
Hardy Hibiscus,Side of Wedding Garden near Bee Garden
Hiba,Backyard Gardens
Indian woodoats,Ornamental Grass Garden
Italian Arum,Perennial Garden
Japanese Beautyberry ,Four Seasons Border
Japanese Beautyberry ,Four Seasons Border
Japanese Euonymus,Alongside Children's Garden
Japanese Pagoda Tree,Arboretum
Kanzan Flowering Cherry,Cherry Circle
Korean Spice viburnum ,Fragrance Walk
Lacebark pine,Alongside Wedding Garden
Lacebark pine,Floral Border
Lantana,Tropical Bed
Large Camas,Ornamental Grass Garden
Lavender,Herb Garden
Leatherleaf Mahonia,Fragrance Walk
Leatherleaf Mahonia,Fragrance Walk
Mexican Bush Sage,Annual Garden
Monkshood,Herb Garden
Mums,Circle Garden
Nandina,Behind Wedding Garden
New England Aster,Constructed Wetland
New York Ironweed,Wetland
Obedient Plant,Oak Allée
Orange Coneflower,Perennial Garden
Oriental Lily,Front of Wedding Garden
Ornamental Onion,Circle Garden
Osage Orange,Arboretum
Ostrich fern,Perennial Garden
Panicle Hydrangea,Annual Garden
Paper birch,Arboretum
Paper birch,Arboretum
Paper birch,Arboretum 
Paperbark Maple,Backyard Garden
Paperbush,Fragrance Walk
Paperbush,Fragrance Walk
Partridge Pea,Constructed Wetland
Philodendron,Tropical Bed
Pin Oak,Oak Allée
Pineapple Sage,Herb Garden
Purple Coneflower ,Herb Garden
Purple Coneflower ,Herb Garden
Red Horse Chesnut,Wedding Garden near Arboretum
Red Hot Poker,Floral Border
Red Maple,Oak Allée
Rhododendron,Woodland
River Birch,Parking Garden
River Birch,Parking Garden
Savin Juniper,Backside of Wedding Garden
Scouringrush Horsetail,Garden alongside Education Building
Siberian squill ,Fragrance Walk
Silver Cock's Comb,Floral Border
Snowdrop,Fragrance Walk
Snowdrop,Fragrance Walk
Solomon's Seal ,Herb Garden
Southern Magnolia,Magnolia Border near Bee Garden
Southern Magnolia,Magnolia Border near Bee Garden
Spider Flower,Rose Garden
Spurge,Oak Allée
Star Magnolia,Magnolia Path
Stonecrop,Floral Border
Striped Squill,Fragrance Walk
Swamp Mallow,Alongside Wedding Garden
Sweet Autumn Clematis,Wedding Garden alongside Herb Garden
The Governor Wind Flowers,Floral Border
Tickseed,Oak Allée
Tiger Lily,Perennial Garden
Tobasco Pepper,Herb Garden
Tulip Tree,Green Roof
Tulips & Daffodils,Oak Allée
Wild Lupine ,Perennial Garden
Willowleaf Cotoneaster,Woodland
Winter Daphne,Fragrance Walk
Winter Hazel,Fragrance Walk
Winter Jasmine,Fragrance Walk
Wintersweet,Fragrance Walk
Witch Hazel,Fragrance Walk
Witch Hazel,Fragrance Walk
Yarrow,Herb Garden
Zinnia,Floral Border
Zinnia,Floral Border
Carnation,Green Roof
Rosa,Rose Garden
Winter Jasmine,Alongside Children's Garden
Cream Veranda,Annual Garden
Silver Cock's Comb,Annual Garden
Tulips & Daffodils,Annual Garden
Flowering Dogwood,Arboretum
Paperbark Maple,Arboretum
Pin Oak,Arboretum
Red Maple,Arboretum
River Birch,Arboretum
River Birch,Arboretum
Star Magnolia,Arboretum
Paper birch,Backyard Gardens
Castor Bean,Circle Garden
Castor Bean,Circle Garden
Common Lilac,Circle Garden
Tiger Lily,Circle Garden
Zinnia,Circle Garden
Bearded Iris,Entrance Plaza
Mexican Bush Sage,Entrance Plaza
Ostrich fern,Entrance Plaza
Blazing Star,Floral Border
Dwarf fothergilla,Floral Border
Hardy Hibiscus,Floral Border
Lacebark pine,Floral Border
Pineapple Sage,Floral Border
Snowdrop,Floral Border
Yarrow,Floral Border
Red Horse Chesnut,Fragrance Walk
Solomon's Seal ,Fragrance Walk
Oriental Lily,Front of Floral Border
Japanese Beautyberry ,Green Roof
Japanese Beautyberry ,Green Roof
Butterfly Weed,Herb Garden
Common Crocus,Herb Garden
Willowleaf Cotoneaster,Magnolia Path
Columbine,Oak Allée
New England Aster,Oak Allée
Orange Coneflower,Oak Allée
Partridge Pea,Oak Allée
Purple Coneflower ,Oak Allée
Purple Coneflower ,Oak Allée
Tulip Tree,Oak Allée
"	Red-twig dogwood",Parking Garden
Clematis,Perennial Garden
Cup Plant,Perennial Garden
Grape Hyacinth,Perennial Garden
Indian woodoats,Perennial Garden
Large Camas,Perennial Garden
Lacebark pine,Pinetum
Bee Balm,QBG Farm
Red Hot Poker,QBG Farm
Canna,Tropical Bed
Common Hop,Tropical Bed (near Main Street)
Bleeding Heart,Wedding Garden
Hiba,Wedding Garden
Kanzan Flowering Cherry,Wedding Garden
Obedient Plant,Wedding Garden
Ornamental Onion,Wedding Garden
Panicle Hydrangea,Wedding Garden
Striped Squill,Wedding Garden
Wild Lupine ,Wedding Garden
Witch Hazel,Wedding Garden
Broadleaf Cattail ,Wetland
Black Hellebore,Woodland
Butterbur,Woodland
Chinese witch hazel ,Woodland
Chinese witch hazel ,Woodland
New York Ironweed,Woodland
Snowdrop,Woodland
Butterbur,Alongside Bee Garden
Lacebark pine,Alongside Wedding Garden
Zinnia,Annual Garden
Cup Plant,Backside of Bee Garden
Blazing Star,Backyard Gardens
Canna,Backyard Gardens
Snowdrop,Backyard Gardens Woodland
Paperbark Maple,Bee Garden
New England Aster,Behind Wedding Garden
Purple Coneflower ,Constructed Wetland
Silver Cock's Comb,Entrance Plaza
Mexican Bush Sage,Fragrance Walk
Common Crocus,Fragrance Walk
Wild Lupine ,Garden near Education Building
Purple Coneflower ,Green Roof
Clematis,Herb Garden
Solomon's Seal ,Oak Allée
Butterfly Weed,Oak Allée
Tulip Tree,Parking Garden
Lacebark pine,Pinetum
Tiger Lily,QBG Farm
Yarrow,QBG Farm
Columbine,Wedding Garden
Orange Coneflower,Wedding Garden
Broadleaf Cattail ,Wedding Garden
